designacao,chamado,excecao
Ala Cabula,2° Conselheiro,
Ala Cabula,Sumo Conselheiro 3,
Ala Cajazeiras,2° Conselheiro,
Ala Cajazeiras,Sumo Conselheiro 8,
Ala Cajazeiras,Sumo Conselheiro 4,sim
Ala Engomadeira,1° Conselheiro,
Ala Engomadeira,Sumo Conselheiro 6,
Ala Jaguaripe,1° Conselheiro,
Ala Jaguaripe,Sumo Conselheiro 10,
Ala Pernambués,1° Conselheiro,
Ala Pernambués,Sumo Conselheiro 7,
Ala Tancredo Neves,2° Conselheiro,
Ala Tancredo Neves,Sumo Conselheiro 11,
Ala Sete de Abril,1° Conselheiro,
Ala Sete de Abril,Sumo Conselheiro 9,
Sociedade de Socorro,Presidente da Estaca,
Sociedade de Socorro,Sumo Conselheiro 9,
Quórum de Élderes,Presidente da Estaca,
Quórum de Élderes,Sumo Conselheiro 9,
Rapazes,2° Conselheiro,
Rapazes,Sumo Conselheiro 5,
Moças,2° Conselheiro,
Moças,Sumo Conselheiro 1,
Primária,1° Conselheiro,
Primária,Sumo Conselheiro 10,
Escola Dominical,2° Conselheiro,
Escola Dominical,Sumo Conselheiro 12,
THF,1° Conselheiro,
THF,Sumo Conselheiro 2,
THF,Sumo Conselheiro 11,sim
Obra Missionária,2° Conselheiro,
Obra Missionária,Sumo Conselheiro 6,
Autossuficiência,2° Conselheiro,
Autossuficiência,Sumo Conselheiro 3,
Seminário,2° Conselheiro,
Seminário,Sumo Conselheiro 7,
Instituto,1° Conselheiro,
Instituto,Sumo Conselheiro 7,
JAS,1° Conselheiro,
JAS,Sumo Conselheiro 7,
MAS,1° Conselheiro,
MAS,Sumo Conselheiro 1,
Comunicação,1° Conselheiro,
Comunicação,Sumo Conselheiro 1,
Múscia,1° Conselheiro,
Múscia,Sumo Conselheiro 8,
Tecnologia,2° Conselheiro,
Tecnologia,Sumo Conselheiro 11,
História da Igreja,2° Conselheiro,
História da Igreja,Sumo Conselheiro 4,
Patrimônio,1° Conselheiro,
Patrimônio,Sumo Conselheiro 4,
